id,time_with_company,promotion_received,race,score_text,gender,new_projects,decile_score,left_company
3,34,0,Non-Minority,Low,Female,0,3,1
4,24,0,Non-Minority,Low,Female,4,4,1
8,41,0,Minority,Medium,Female,14,6,1
10,39,1,Minority,Low,Male,0,1,0
14,27,0,Minority,Low,Female,0,4,0
15,23,1,Non-Minority,Medium,Female,3,6,1
16,37,1,Minority,Low,Male,0,1,0
18,41,0,Non-Minority,Low,Female,0,4,0
19,47,0,Minority,Low,Male,1,1,1
20,31,0,Non-Minority,Low,Female,7,3,1
22,25,0,Non-Minority,High,Female,3,10,0
23,31,0,Minority,Medium,Female,6,5,1
24,31,0,Minority,Low,Female,5,3,1
25,64,0,Non-Minority,Medium,Female,13,6,1
26,21,0,Non-Minority,High,Female,1,9,1
27,27,1,Minority,Low,Female,0,2,1
28,21,0,Minority,Low,Male,0,4,0
32,43,1,Minority,Low,Female,1,1,0
37,27,0,Non-Minority,Low,Female,8,3,1
39,26,0,Non-Minority,Medium,Female,5,7,1
40,33,0,Non-Minority,High,Female,0,10,1
41,30,0,Minority,High,Female,9,9,1
42,32,0,Non-Minority,High,Female,4,8,1
45,55,0,Minority,Low,Female,0,1,0
52,33,1,Minority,Medium,Male,4,5,1
53,24,1,Minority,Low,Female,1,2,1
54,34,0,Non-Minority,High,Female,21,9,1
55,29,1,Minority,Low,Female,0,2,0
56,21,0,Non-Minority,High,Male,2,8,0
57,51,1,Non-Minority,Low,Female,2,1,0
59,29,1,Minority,Low,Female,2,2,1
61,51,0,Non-Minority,Low,Male,7,2,0
64,29,0,Non-Minority,Medium,Female,0,7,1
66,25,1,Minority,High,Female,9,10,1
67,35,0,Non-Minority,High,Female,13,8,1
68,49,1,Minority,Low,Female,0,1,0
70,29,0,Non-Minority,Low,Female,0,4,0
71,29,0,Minority,Low,Female,1,2,1
79,31,0,Non-Minority,Medium,Female,15,5,0
80,24,0,Non-Minority,Low,Female,2,4,1
84,49,1,Non-Minority,Low,Female,4,1,0
85,53,0,Minority,Medium,Female,8,5,0
87,35,0,Non-Minority,Low,Female,5,3,0
90,27,0,Non-Minority,High,Female,15,10,1
91,38,1,Minority,Low,Female,4,2,1
93,22,0,Non-Minority,Low,Female,1,4,1
96,29,0,Non-Minority,High,Female,4,9,1
98,27,0,Non-Minority,Medium,Female,6,6,1
100,56,1,Non-Minority,Low,Male,0,1,0
105,39,1,Non-Minority,Low,Female,1,4,0
107,29,0,Non-Minority,Medium,Female,5,6,1
108,27,0,Minority,Medium,Female,1,6,1
111,40,0,Non-Minority,Low,Female,2,2,0
113,22,1,Non-Minority,Low,Female,1,3,1
114,22,0,Minority,High,Female,0,8,0
115,26,0,Non-Minority,Low,Male,1,4,1
119,32,0,Non-Minority,Low,Female,0,2,0
120,41,1,Non-Minority,Low,Female,1,2,0
122,30,1,Non-Minority,High,Female,8,10,1
128,25,0,Non-Minority,High,Female,14,10,1
131,22,0,Non-Minority,High,Female,2,9,1
136,35,1,Non-Minority,Low,Male,1,2,0
137,36,0,Non-Minority,Medium,Female,9,7,1
138,26,0,Minority,High,Female,7,8,1
142,25,0,Minority,High,Female,9,8,1
145,20,0,Minority,Medium,Male,0,7,0
146,39,0,Minority,Low,Female,2,1,1
148,54,1,Minority,Low,Male,0,1,0
151,19,1,Non-Minority,Low,Female,1,4,1
153,30,0,Non-Minority,Low,Female,1,2,0
154,39,0,Minority,Low,Male,0,1,1
156,24,0,Minority,Medium,Female,8,6,1
157,30,0,Minority,Low,Female,0,4,0
158,31,1,Minority,Medium,Female,0,5,0
159,39,0,Minority,Low,Male,1,4,0
163,43,0,Minority,Low,Female,1,1,0
166,21,0,Non-Minority,High,Female,3,9,1
169,38,1,Minority,Low,Female,5,4,1
171,34,0,Minority,Medium,Female,0,5,0
173,33,0,Non-Minority,Medium,Female,5,5,1
174,37,0,Non-Minority,Low,Female,3,2,0
175,42,0,Minority,Low,Female,1,2,1
176,41,0,Non-Minority,High,Female,10,9,1
177,22,0,Non-Minority,Low,Female,0,4,1
178,33,0,Non-Minority,High,Female,28,8,1
180,31,1,Non-Minority,Medium,Female,1,7,0
183,31,0,Minority,High,Female,13,10,1
184,27,0,Non-Minority,High,Female,3,9,1
189,52,1,Minority,High,Female,3,9,0
190,33,0,Non-Minority,High,Female,19,10,1
194,42,0,Minority,Low,Female,6,3,0
195,25,0,Minority,Low,Male,2,4,0
197,30,1,Minority,Low,Female,1,2,0
202,28,1,Minority,Low,Female,0,2,1
203,24,1,Non-Minority,Low,Male,0,2,0
206,29,0,Minority,Low,Male,10,4,1
208,44,1,Minority,Low,Female,2,2,1
210,32,0,Non-Minority,Medium,Female,3,7,1
213,31,1,Minority,Low,Female,2,3,1
215,31,1,Non-Minority,Low,Female,1,2,0
216,59,0,Minority,Low,Female,1,2,1
220,20,0,Non-Minority,High,Male,1,10,0
222,43,1,Minority,Low,Male,0,1,0
223,38,0,Non-Minority,High,Female,9,8,1
224,32,0,Non-Minority,Medium,Female,11,6,1
225,33,1,Non-Minority,Medium,Female,8,5,1
227,31,0,Non-Minority,Low,Male,0,3,1
228,33,0,Non-Minority,High,Male,7,9,1
229,27,0,Non-Minority,High,Female,2,9,1
231,20,0,Non-Minority,Medium,Male,0,6,0
232,26,1,Minority,Medium,Male,0,6,0
234,61,0,Non-Minority,Low,Male,1,1,1
238,32,0,Non-Minority,High,Male,4,10,1
241,26,1,Non-Minority,Low,Male,2,4,1
243,39,1,Minority,Low,Female,1,4,0
244,30,0,Minority,Medium,Male,3,7,1
245,30,0,Non-Minority,Medium,Female,1,7,0
246,48,1,Minority,Low,Female,2,2,0
248,22,0,Non-Minority,Low,Female,1,2,0
249,46,0,Minority,Low,Female,6,1,1
252,31,0,Minority,Medium,Female,0,5,0
254,25,1,Non-Minority,Low,Female,1,2,1
258,32,0,Non-Minority,Medium,Male,5,7,0
260,62,0,Non-Minority,Low,Female,8,4,0
